"id","name","description","price","quantity","createdAt","updatedAt"
"cm55cqesv0007njpkpeg54axr","Apple MacBook Pro","A premium laptop for professionals","2400",8,"2024-12-26 13:20:40.303","2024-12-26 13:20:40.303"
"cm55cqkc20008njpks9emhogn","Sony WH-1000XM5","Noise-canceling wireless headphones","399",25,"2024-12-26 13:20:47.474","2024-12-26 13:20:47.474"
"cm55cqog80009njpkethmbp3w","Samsung Galaxy S23","Flagship smartphone with high performance","999",15,"2024-12-26 13:20:52.809","2024-12-26 13:20:52.809"
"cm55cqv3r000anjpkxta6shd1","LG OLED TV","55-inch 4K Ultra HD Smart TV","1300",5,"2024-12-26 13:21:01.431","2024-12-26 13:21:01.431"
"cm55cr0ec000bnjpk868ao66p","Canon EOS R6","Mirrorless camera for photography enthusiasts","2500",10,"2024-12-26 13:21:08.292","2024-12-26 13:21:08.292"
"cm55crrkx000enjpkc1fpf60r","Dyson Airwrap","Hair styler with advanced technology","599",20,"2024-12-26 13:21:43.521","2024-12-26 13:21:43.521"
"cm55crxu1000fnjpkbctbhi4c","Nintendo Switch","Portable gaming console","299",50,"2024-12-26 13:21:51.626","2024-12-26 13:21:51.626"
"cm55cs38h000gnjpkaeoid637","Asus ROG Strix","High-end gaming laptop","1800",12,"2024-12-26 13:21:58.625","2024-12-26 13:21:58.625"
"cm55cs8nt000hnjpkfrzzs9so","Bose QuietComfort 45","Comfortable noise-canceling headphones","329",30,"2024-12-26 13:22:05.657","2024-12-26 13:22:05.657"
"cm55cscty000injpkzgr9mn49","Google Pixel 8","Smartphone with AI-powered camera","899",18,"2024-12-26 13:22:11.062","2024-12-26 13:22:11.062"
"cm55cu1u9000jnjpk1vj0fc90","Fitbit Charge 5","Advanced fitness tracker","149",40,"2024-12-26 13:23:30.129","2024-12-26 13:23:30.129"
"cm55cu85h000knjpk5lwa1i5x","Dell Ultrasharp Monitor","32-inch 4K UHD monitor","750",6,"2024-12-26 13:23:38.309","2024-12-26 13:23:38.309"
"cm55cudvb000lnjpki1r6iwc6","HP Spectre x360","2-in-1 convertible laptop","1400",7,"2024-12-26 13:23:45.72","2024-12-26 13:23:45.72"
